t,Re_p1,Im_p1,Re_p2,Im_p2,g_t
6.562500000000000000e+00,-1.610236407761770142e-02,2.021743764168064048e-02,2.723927864306678864e-03,1.189991928797089855e-03,0.000000000000000000e+00
6.578125000000000000e+00,-1.869612074455857809e-02,2.560505724843492939e-02,1.873208152273059734e-03,1.521551774343801863e-03,0.000000000000000000e+00
6.593750000000000000e+00,-2.248971262132639509e-02,2.696424891450957886e-02,3.329441799828859651e-03,2.126355155922357836e-03,0.000000000000000000e+00
6.609375000000000000e+00,-2.556548650013392918e-02,2.615768160377366161e-02,1.904637935604900452e-03,6.773527925659638023e-03,0.000000000000000000e+00
6.625000000000000000e+00,-2.540346485089617357e-02,2.370881335706003304e-02,3.573753309764512477e-03,1.045874797541879175e-02,0.000000000000000000e+00
6.640625000000000000e+00,-2.902924105968566343e-02,2.736642567269008050e-02,-4.308069292115272709e-04,9.075137626417860773e-03,0.000000000000000000e+00
6.656250000000000000e+00,-2.264145255085490971e-02,3.357497168402513027e-02,-5.163356246835361200e-03,1.155819860629312204e-02,0.000000000000000000e+00
6.671875000000000000e+00,-2.024945742711048435e-02,2.852005817141069557e-02,-4.413206734194365273e-03,1.261091912892722128e-02,0.000000000000000000e+00
6.687500000000000000e+00,-1.180920745986938601e-02,2.204769461019080723e-02,-2.243779251284813703e-03,7.650477279026193789e-03,0.000000000000000000e+00
6.703125000000000000e+00,-1.393143140295301577e-02,2.113670278642384992e-02,-7.159817973009302214e-03,5.448429480898390846e-03,0.000000000000000000e+00
6.718750000000000000e+00,-4.787011713134260715e-03,2.335875115947923589e-02,-7.296392965629191693e-03,1.178358514491551282e-02,0.000000000000000000e+00
6.734375000000000000e+00,-5.593873588568084074e-05,1.949532493005759828e-02,-1.247517346795654937e-02,1.301813124034426582e-02,0.000000000000000000e+00
6.750000000000000000e+00,3.092719736015067319e-03,1.790957239390728040e-02,-7.510983333619098215e-03,1.566374446708035731e-02,0.000000000000000000e+00
6.765625000000000000e+00,6.117552551839086639e-03,1.762208442053861054e-02,-6.394837232652238190e-03,1.193832975129607843e-02,0.000000000000000000e+00
6.781250000000000000e+00,1.237093419951620053e-02,2.406269022359484172e-02,-1.185053175728146245e-02,1.489482561568003863e-02,0.000000000000000000e+00
