f,mag
-1.051355661881250000e+10,8.791855294371944129e-01
-1.030940988834375000e+10,8.826673267920908117e-01
-1.010526315790625000e+10,8.848887072241256035e-01
-9.901116427437500000e+09,8.866999162688814495e-01
-9.696969696968750000e+09,8.873584029552868957e-01
-9.492822966500000000e+09,8.877748778600816904e-01
-9.288676236031250000e+09,8.872008843243057719e-01
-9.084529505593750000e+09,8.864351659787476079e-01
-8.880382775125000000e+09,8.847609757739564040e-01
-8.676236044656250000e+09,8.827274410384957637e-01
-8.472089314187500000e+09,8.796999000067401431e-01
-8.267942583718750000e+09,8.758463153590982930e-01
-8.063795853281250000e+09,8.706241240191657793e-01
-7.859649122812500000e+09,8.636664432187483031e-01
-7.655502392343750000e+09,8.544217249861788543e-01
-7.451355661875000000e+09,8.417362651546921315e-01
-7.247208931406250000e+09,8.246978604704406912e-01
-7.043062200968750000e+09,8.008284038048090192e-01
-6.838915470500000000e+09,7.679827413757188692e-01
-6.634768740031250000e+09,7.212869922686419022e-01
-6.430622009562500000e+09,6.560461674263033949e-01
-6.226475279093750000e+09,5.650969088496780035e-01
-6.022328548656250000e+09,4.459415720469076527e-01
-5.818181818187500000e+09,3.097388901166273634e-01
-5.614035087718750000e+09,2.167152719594608590e-01
-5.409888357250000000e+09,2.624606408583883277e-01
-5.205741626781250000e+09,3.780048703959175138e-01
-5.001594896343750000e+09,4.849594751244084012e-01
-4.797448165875000000e+09,5.666021330403597789e-01
-4.593301435406250000e+09,6.241149093513065349e-01
-4.389154704937500000e+09,6.631376335914512810e-01
-4.185007974468750000e+09,6.874245668636285167e-01
-3.980861244031250000e+09,7.013198168620727868e-01
-3.776714513562500000e+09,7.064981631447651012e-01
-3.572567783093750000e+09,7.059254866046738019e-01
-3.368421052625000000e+09,7.010485829197674601e-01
-3.164274322156250000e+09,6.949031004312712367e-01
-2.960127591718750000e+09,6.903219145428193260e-01
-2.755980861250000000e+09,6.903702376802935969e-01
-2.551834130781250000e+09,6.977298805631583223e-01
-2.347687400312500000e+09,7.121017142870206262e-01
-2.143540669843750000e+09,7.326565973660554842e-01
-1.939393939406250000e+09,7.556510090968741045e-01
-1.735247208937500000e+09,7.791624089726897351e-01
-1.531100478468750000e+09,8.005041910528417626e-01
-1.326953748000000000e+09,8.191282531927980282e-01
-1.122807017531250000e+09,8.343380832699187621e-01
-9.186602870937500000e+08,8.462300696769938790e-01
-7.145135566250000000e+08,8.550565950872545118e-01
-5.103668261562500000e+08,8.607108801087369754e-01
-3.062200956875000000e+08,8.637136083460743574e-01
-1.020733652187500000e+08,8.634632631521721446e-01
1.020733652187500000e+08,8.604200613060528635e-01
3.062200956875000000e+08,8.533618939337802578e-01
5.103668261562500000e+08,8.423744126193287718e-01
7.145135566250000000e+08,8.253589599506717667e-01
9.186602870937500000e+08,8.014956282206817662e-01
1.122807017531250000e+09,7.672811095898534051e-01
1.326953748000000000e+09,7.203118282922937876e-01
1.531100478468750000e+09,6.556517710081078976e-01
1.735247208937500000e+09,5.709511464719826401e-01
1.939393939406250000e+09,4.661148520579496690e-01
2.143540669843750000e+09,3.529737921176186455e-01
2.347687400312500000e+09,2.606433776225804411e-01
2.551834130781250000e+09,2.346347847006733656e-01
2.755980861250000000e+09,2.738938730318736248e-01
2.960127591718750000e+09,3.311178380655481757e-01
3.164274322156250000e+09,3.772714184327179421e-01
3.368421052625000000e+09,4.054356410842571146e-01
3.572567783093750000e+09,4.136993057158731557e-01
3.776714513562500000e+09,4.039434330411467711e-01
3.980861244031250000e+09,3.777039750682773533e-01
4.185007974468750000e+09,3.408555595091750656e-01
4.389154704937500000e+09,3.060046740975889135e-01
4.593301435406250000e+09,2.962573114853275791e-01
4.797448165875000000e+09,3.319106765841906559e-01
5.001594896343750000e+09,4.043133125723979426e-01
5.205741626781250000e+09,4.908366570232431392e-01
5.409888357250000000e+09,5.731475775860435107e-01
5.614035087718750000e+09,6.433320827051651758e-01
5.818181818187500000e+09,6.995795520465691864e-01
6.022328548656250000e+09,7.428066853697506966e-01
6.226475279093750000e+09,7.756759674286508588e-01
6.430622009562500000e+09,7.996754885729713269e-01
6.634768740031250000e+09,8.173452002998579102e-01
6.838915470500000000e+09,8.291239759103942175e-01
7.043062200968750000e+09,8.368624864942031394e-01
7.247208931406250000e+09,8.401327031757159780e-01
7.451355661875000000e+09,8.402243663439747934e-01
7.655502392343750000e+09,8.361010753774373860e-01
7.859649122812500000e+09,8.285281621163994581e-01
8.063795853281250000e+09,8.159276254149451235e-01
8.267942583718750000e+09,7.983810157205856184e-01
8.472089314187500000e+09,7.736544859680877240e-01
8.676236044656250000e+09,7.408417294555301735e-01
8.880382775125000000e+09,6.970199541628845363e-01
9.084529505593750000e+09,6.405103248701529139e-01
9.288676236031250000e+09,5.694686421423694744e-01
9.492822966500000000e+09,4.857929366212357380e-01
9.696969696968750000e+09,3.990269355138224006e-01
9.901116427437500000e+09,3.319718125879421722e-01
1.010526315790625000e+10,3.180741831235649464e-01
1.030940988834375000e+10,3.622095542061416484e-01
1.051355661881250000e+10,4.351049139213180594e-01
1.071770334928125000e+10,5.101242381574451201e-01
1.092185007975000000e+10,5.758882554373795370e-01
1.112599681021875000e+10,6.300561091760640275e-01
1.133014354065625000e+10,6.726722795372072072e-01
1.153429027112500000e+10,7.062264831069476889e-01
1.173843700159375000e+10,7.315729643148157768e-01
1.194258373206250000e+10,7.511797770767546512e-01
1.214673046253125000e+10,7.651906846678483420e-01
1.235087719296875000e+10,7.755321031757324013e-01
1.255502392343750000e+10,7.817707733748509025e-01
1.275917065390625000e+10,7.854175157307867750e-01
1.296331738437500000e+10,7.857156789768701133e-01
1.316746411484375000e+10,7.838995861903300666e-01
1.337161084528125000e+10,7.790824682056263217e-01
1.357575757575000000e+10,7.723347157377249417e-01
1.377990430621875000e+10,7.628143682212734644e-01
1.398405103668750000e+10,7.515628669596529088e-01
1.418819776715625000e+10,7.379903122798735504e-01
1.439234449759375000e+10,7.232824284037383533e-01
1.459649122806250000e+10,7.072945079811399083e-01
1.480063795853125000e+10,6.914222904261103642e-01
1.500478468900000000e+10,6.758891838890910275e-01
1.520893141946875000e+10,6.619507869710479220e-01
1.541307814990625000e+10,6.496548589780338778e-01
1.561722488037500000e+10,6.394651645504889625e-01
1.582137161084375000e+10,6.308051326933420411e-01
1.602551834131250000e+10,6.232125342480360208e-01
1.622966507178125000e+10,6.158349858076561656e-01
1.643381180221875000e+10,6.078264432071005530e-01
1.663795853268750000e+10,5.987758981886899257e-01
1.684210526315625000e+10,5.879771308508198180e-01
1.704625199362500000e+10,5.759494458430807207e-01
1.725039872409375000e+10,5.624092476352605674e-01
1.745454545453125000e+10,5.490086086441047231e-01
1.765869218500000000e+10,5.359565852677082853e-01
1.786283891546875000e+10,5.256421389842736991e-01
1.806698564593750000e+10,5.181937888707988105e-01
1.827113237640625000e+10,5.152451153629523661e-01
1.847527910684375000e+10,5.157564750053710290e-01
1.867942583731250000e+10,5.192582092971158580e-01
1.888357256778125000e+10,5.237161842122315392e-01
1.908771929825000000e+10,5.271339420026038836e-01
1.929186602871875000e+10,5.278326643366506588e-01
1.949601275915625000e+10,5.234366021577897543e-01
1.970015948962500000e+10,5.132120268074250591e-01
1.990430622009375000e+10,4.949715894871658528e-01
2.010845295056250000e+10,4.691030311823316534e-01
2.031259968103125000e+10,4.350676586697870274e-01
2.051674641146875000e+10,3.968089467827704553e-01
2.072089314193750000e+10,3.613707667143936653e-01
2.092503987240625000e+10,3.427166075332784834e-01
2.112918660287500000e+10,3.552606340082845038e-01
2.133333333334375000e+10,3.999377716544562089e-01
2.153748006378125000e+10,4.650086713162082663e-01
2.174162679425000000e+10,5.344081727672140847e-01
2.194577352471875000e+10,5.989240503489036138e-01
2.214992025518750000e+10,6.535947433518817240e-01
2.235406698565625000e+10,6.975711578600103380e-01
2.255821371609375000e+10,7.316971326353081118e-01
2.276236044656250000e+10,7.568510413560258776e-01
2.296650717703125000e+10,7.748644316737037796e-01
2.317065390750000000e+10,7.859379733761930886e-01
2.337480063796875000e+10,7.915573430397829791e-01
2.357894736840625000e+10,7.909285650791818556e-01
2.378309409887500000e+10,7.848827267534276286e-01
2.398724082934375000e+10,7.716654319551079499e-01
2.419138755981250000e+10,7.512399318112774615e-01
2.439553429028125000e+10,7.211441687833555214e-01
2.459968102071875000e+10,6.810859782891285352e-01
2.480382775118750000e+10,6.310090363314033723e-01
