t_z,z_t_puf1,z_t_puf2
7.65625e-11,6.198980118409005e-05,5.864651726090838e-05
7.8125e-11,6.208209319546098e-05,5.901815540945502e-05
7.96875e-11,6.162887026311229e-05,5.989981634102417e-05
8.125e-11,6.173007942499628e-05,6.104984805901148e-05
8.28125e-11,6.186728762561074e-05,6.137310054889469e-05
8.4375e-11,6.176841880351693e-05,6.149532001681554e-05
8.593750000000001e-11,6.187971247130376e-05,6.047795830362412e-05
8.750000000000001e-11,6.229449728633163e-05,5.959437174987183e-05
8.906250000000001e-11,6.176794532018527e-05,5.8899188491081806e-05
9.0625e-11,6.136165734285004e-05,5.944944458586343e-05
9.21875e-11,6.220200299664007e-05,5.8363681676101156e-05
9.375e-11,6.198648774928398e-05,5.892395918321983e-05
9.53125e-11,6.138195680642264e-05,5.8680622960924634e-05
9.6875e-11,6.262907985259288e-05,6.0039938307218794e-05
9.84375e-11,6.117900648525482e-05,5.989856923062305e-05
1e-10,6.094271504652294e-05,6.111489615030911e-05
1.015625e-10,6.1241705502957e-05,6.109739910929047e-05
1.03125e-10,6.163074547955076e-05,6.140271794028683e-05
1.0468750000000001e-10,6.029190774804545e-05,6.161680014784215e-05
1.0625000000000001e-10,6.0247204016847925e-05,6.203425252430149e-05
1.0781250000000001e-10,5.963358885021294e-05,6.22227795995064e-05
1.0937500000000001e-10,5.923923200256466e-05,6.253979544140698e-05
1.109375e-10,5.817361988857558e-05,6.377578262647133e-05
1.125e-10,5.792545481106379e-05,6.468044524995648e-05
1.140625e-10,5.812191272535222e-05,6.360994222380714e-05
1.15625e-10,5.73758478382949e-05,6.341851521436479e-05
1.1718750000000002e-10,5.705844735591722e-05,6.296893419825888e-05
1.1875e-10,5.728059573410131e-05,6.357262472447272e-05
1.203125e-10,5.650530204989907e-05,6.285800655898383e-05
1.21875e-10,5.6346294808068425e-05,6.242061153005708e-05
1.234375e-10,5.687893166279389e-05,6.227510056471278e-05
1.25e-10,5.6604034385056945e-05,6.186719726005646e-05
1.265625e-10,5.63471139266008e-05,6.163224530128462e-05
1.28125e-10,5.628237482301606e-05,6.0895457976147354e-05
1.296875e-10,5.620694101099657e-05,5.994540627264262e-05
1.3125e-10,5.58603916081546e-05,5.9637096203996163e-05
1.328125e-10,5.642430290828495e-05,5.942792098619916e-05
1.3437500000000001e-10,5.611812013124233e-05,5.8764497159028154e-05
1.359375e-10,5.654414156022433e-05,5.7842200477095116e-05
1.3750000000000002e-10,5.630149488266086e-05,5.683532039772747e-05
1.390625e-10,5.578811744741207e-05,5.754397102592332e-05
1.40625e-10,5.5208573044202385e-05,5.682399110926501e-05
1.421875e-10,5.4483566139039965e-05,5.675833189418079e-05
1.4375e-10,5.319211461448628e-05,5.558524053116158e-05
1.453125e-10,5.015379900026006e-05,5.466651149108769e-05
1.46875e-10,4.8720686984307035e-05,5.352124806489828e-05
1.484375e-10,4.8036350883773384e-05,5.365727379943226e-05
1.5e-10,4.694418782986427e-05,5.279520681214056e-05
1.5156250000000001e-10,4.612144975970898e-05,5.26720278476896e-05
1.53125e-10,4.471179699655363e-05,5.213472276272105e-05
1.5468750000000002e-10,4.3502029889641534e-05,5.134708886085048e-05
1.5625e-10,4.2814609695340344e-05,5.06713591769099e-05
1.5781250000000002e-10,4.1680703074931696e-05,5.062860473422392e-05
1.59375e-10,4.104064266395445e-05,5.022867345310306e-05
1.609375e-10,4.013419316205379e-05,5.0479483583334965e-05
1.625e-10,3.924502994375199e-05,5.0522797272331455e-05
1.640625e-10,3.83303641368844e-05,5.00638886650678e-05
1.65625e-10,3.775898792477989e-05,4.839943985869684e-05
1.671875e-10,3.6968005282525084e-05,4.845270899754502e-05
1.6875e-10,3.661743494168678e-05,4.7833781715692754e-05
1.703125e-10,3.5762363765733865e-05,4.762926070547104e-05
1.7187500000000001e-10,3.509714262645188e-05,4.634286360720368e-05
1.734375e-10,3.361875469507614e-05,4.603937330784644e-05
1.7500000000000002e-10,3.286932898056368e-05,4.512786356586814e-05
1.765625e-10,3.212456252067241e-05,4.5239543653361016e-05
1.7812500000000002e-10,3.1374287651524665e-05,4.465119453548291e-05
1.796875e-10,3.018414748770424e-05,4.2953655901465004e-05
1.8125e-10,2.978812983189568e-05,4.1515591631289354e-05
1.828125e-10,2.904281858601745e-05,4.050061134566902e-05
1.84375e-10,2.8444812240793942e-05,4.036983112191945e-05
1.859375e-10,2.867909369182951e-05,3.9362623487743226e-05
1.875e-10,2.7854942911267235e-05,3.8585571997019944e-05
1.890625e-10,2.773539250488851e-05,3.900115883293116e-05
1.90625e-10,2.7387075345279004e-05,3.843280908818982e-05
1.9218750000000001e-10,2.6316536507766605e-05,3.8610436466939364e-05
1.9375e-10,2.5620373660183296e-05,3.7785349730215326e-05
1.9531250000000002e-10,2.5175334591254e-05,3.712860949051074e-05
1.96875e-10,2.3448814865229065e-05,3.4546259690441064e-05
1.9843750000000002e-10,2.3295718973087757e-05,3.436467376378029e-05
2e-10,2.3076331140516457e-05,3.207605967053732e-05
2.015625e-10,2.2157489972854822e-05,3.0650849366932344e-05
