bin_left,bin_right,D_intra,D_inter,D_clone_anal,D_clone_ml
0.00012437871109540396,0.00012486267495180633,0.0,5143.467827859771,0.0,6275.262005258171
0.00012486267495180633,0.00012534663880820867,0.0,5135.620176123806,0.0,6399.238205559974
0.00012534663880820867,0.000125830602664611,0.0,5167.970868121659,0.0,6450.89495568558
0.000125830602664611,0.00012631456652101338,0.0,5171.602494190806,0.0,6399.238205559615
0.00012631456652101338,0.00012679853037741572,0.0,5182.706086541327,0.0,6438.497335655434
0.00012679853037741572,0.00012728249423381806,0.0,5198.317904357065,0.0,6293.8584353037395
0.00012728249423381806,0.00012776645809022043,0.0,5220.358117743698,0.0,6413.702095594784
0.00012776645809022043,0.00012825042194662277,0.0,5264.981201286836,0.0,6411.63582559012
0.00012825042194662277,0.0001287343858030251,0.0,5268.111913415662,0.0,6411.63582559012
0.0001287343858030251,0.00012921834965942748,0.0,5293.575038729804,0.0,6242.201685177784
0.00012921834965942748,0.00012970231351582982,0.0,5298.500692479452,0.0,6149.219534952044
0.00012970231351582982,0.00013018627737223216,0.0,5311.60794059213,0.0,6184.346125037457
0.00013018627737223216,0.00013067024122863453,0.0,5332.14541215692,0.0,6227.737795142615
0.00013067024122863453,0.00013115420508503687,0.0,5348.216401085186,0.0,6089.297704806342
0.00013115420508503687,0.00013163816894143924,0.0,5376.1006104456155,0.0,5905.399674358857
0.00013163816894143924,0.00013212213279784158,0.0,5402.523820813195,0.0,5810.351254128074
0.00013212213279784158,0.00013260609665424392,0.0,5402.3151066712735,0.0,5746.296883972324
0.00013260609665424392,0.00013309006051064629,0.0,5433.830942101136,0.0,5748.363153977026
0.00013309006051064629,0.00013357402436704863,0.0,5461.422951663481,0.0,5423.958763188547
0.00013357402436704863,0.00013405798822345097,0.0,5449.275788603642,0.0,5585.127823580436
0.00013405798822345097,0.00013454195207985334,0.0,5499.241954179373,0.0,5279.319862836557
0.00013454195207985334,0.00013502591593625568,0.0,5473.737086036858,0.0,5454.952813263911
0.00013502591593625568,0.00013550987979265802,0.0,5525.2059934347335,0.0,5314.446452922264
0.00013550987979265802,0.00013599384364906038,0.0,5544.157237520908,0.0,5126.415882464774
0.00013599384364906038,0.00013647780750546273,0.0,5559.560341195035,0.0,5023.102382213851
0.00013647780750546273,0.00013696177136186507,0.0,5561.814453927788,0.0,4987.975792128439
0.00013696177136186507,0.00013744573521826743,0.0,5541.6109249894635,0.0,5076.825402344196
0.00013744573521826743,0.00013792969907466978,0.0,5607.481108180244,0.0,4806.144031686309
0.00013792969907466978,0.00013841366293107212,0.0,5634.1965183462125,0.0,4686.300371394905
0.00013841366293107212,0.00013889762678747448,0.0,5613.992989407884,0.0,4678.035291374546
0.00013889762678747448,0.00013938159064387682,0.0,5646.8445953466635,0.0,4880.5297518671805
0.00013938159064387682,0.00013986555450027917,0.0,5676.356775014383,0.0,4698.69799142505
0.00013986555450027917,0.00014034951835668153,0.0,5687.335138879143,0.0,4789.613871645847
0.00014034951835668153,0.00014083348221308387,0.0,5691.551164546278,0.0,4647.041241299446
0.00014083348221308387,0.00014131744606948621,0.0,5723.734885230595,0.0,4930.120231987761
0.00014131744606948621,0.00014180140992588858,0.0,5713.340920962577,0.0,4644.974971294161
0.00014180140992588858,0.00014228537378229092,0.0,5746.985640640666,0.0,4833.005541751624
0.00014228537378229092,0.00014276933763869326,0.0,5770.6538243345785,0.0,4702.830531435098
0.00014276933763869326,0.00014325330149509563,0.0,5792.735780549564,0.0,4839.204351766425
